circuit,qubit_count,channel,param,depth,fidelity,success_probability,error_rate
bell_phi_plus,2,phase_flip,0.1,4,0.5838860887346957,1.0,0.0
bell_phi_plus,2,phase_flip,0.2,4,0.5083980888590331,1.0,0.0
bell_phi_plus,2,phase_flip,0.3,4,0.5003276888602814,1.0,0.0
bell_phi_plus,2,phase_flip,0.4,4,0.5000012888602832,1.0,0.0
bell_phi_plus,2,phase_flip,0.5,4,0.5000000088602843,1.0,0.0
bell_phi_plus,2,phase_flip,0.6,4,0.5000012888602832,1.0,0.0
bell_phi_plus,2,phase_flip,0.7,4,0.5003276888602822,1.0,0.0
bell_phi_plus,2,phase_flip,0.8,4,0.5083980888590331,1.0,0.0
bell_phi_plus,2,phase_flip,0.9,4,0.5838860887346957,1.0,0.0
bell_phi_plus,2,phase_flip,1.0,4,0.9999999999999998,1.0,0.0
bell_phi_plus,2,depolarizing,0.0,4,0.9999999999999998,1.0,0.0
bell_phi_plus,2,depolarizing,0.1,4,0.5728504125608979,0.705810546875,0.294189453125
bell_phi_plus,2,depolarizing,0.2,4,0.37582912495523174,0.5732421875,0.4267578125
bell_phi_plus,2,depolarizing,0.3,4,0.2932360121576069,0.521484375,0.478515625
bell_phi_plus,2,depolarizing,0.4,4,0.2625971245020922,0.49853515625,0.50146484375
bell_phi_plus,2,depolarizing,0.5,4,0.25292969194731263,0.4912109375,0.5087890625
bell_phi_plus,2,depolarizing,0.6,4,0.2504915244330413,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.7,4,0.25004921193043245,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.8,4,0.25000192443015273,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.9,4,0.25000001193014126,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,1.0,4,0.2500000044301416,0.489501953125,0.510498046875
bell_phi_plus,2,amplitude_damping,0.0,4,0.9999999999999998,1.0,0.0
bell_phi_plus,2,amplitude_damping,0.1,4,0.7152336069991699,0.76416015625,0.23583984375
bell_phi_plus,2,amplitude_damping,0.2,4,0.5838860821426629,0.75390625,0.24609375
bell_phi_plus,2,amplitude_damping,0.3,4,0.5288240066165759,0.822021484375,0.177978515625
bell_phi_plus,2,amplitude_damping,0.4,4,0.5083980809994739,0.894775390625,0.105224609375
bell_phi_plus,2,amplitude_damping,0.5,4,0.5019531255191573,0.9453125,0.0546875
bell_phi_plus,2,amplitude_damping,0.6,4,0.5003276802210165,0.974853515625,0.025146484375
bell_phi_plus,2,amplitude_damping,0.7,4,0.500032805071187,0.99169921875,0.00830078125
bell_phi_plus,2,amplitude_damping,0.8,4,0.5000012800141538,0.9990234375,0.0009765625
bell_phi_plus,2,amplitude_damping,0.9,4,0.500000005000886,1.0,0.0
bell_phi_plus,2,amplitude_damping,1.0,4,0.4999999999999999,1.0,0.0
bell_phi_plus,2,phase_damping,0.0,4,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_damping,0.1,4,0.8280500066866248,1.0,0.0
bell_phi_plus,2,phase_damping,0.2,4,0.7048000080829284,1.0,0.0
bell_phi_plus,2,phase_damping,0.3,4,0.6200500086011037,1.0,0.0
bell_phi_plus,2,phase_damping,0.4,4,0.5648000087855591,1.0,0.0
bell_phi_plus,2,phase_damping,0.5,4,0.5312500088429613,1.0,0.0
bell_phi_plus,2,phase_damping,0.6,4,0.5128000088573799,1.0,0.0
bell_phi_plus,2,phase_damping,0.7,4,0.5040500088599934,1.0,0.0
bell_phi_plus,2,phase_damping,0.8,4,0.500800008860272,1.0,0.0
bell_phi_plus,2,phase_damping,0.9,4,0.5000500088602831,1.0,0.0
bell_phi_plus,2,phase_damping,1.0,4,0.5000000088602834,1.0,0.0
bell_phi_plus,2,bit_flip,0.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,bit_flip,0.1,8,0.5140737488355319,0.504638671875,0.495361328125
bell_phi_plus,2,bit_flip,0.2,8,0.500141055495372,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.3,8,0.5000002147483645,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.4,8,0.5000000000032775,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.5,8,0.5000000000000013,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.6,8,0.5000000000032775,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.7,8,0.5000002147483658,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.8,8,0.5001410554953712,0.489501953125,0.510498046875
bell_phi_plus,2,bit_flip,0.9,8,0.5140737488355317,0.504638671875,0.495361328125
bell_phi_plus,2,bit_flip,1.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_flip,0.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_flip,0.1,8,0.5140737576923048,1.0,0.0
bell_phi_plus,2,phase_flip,0.2,8,0.5001410643556548,1.0,0.0
bell_phi_plus,2,phase_flip,0.3,8,0.5000002236086478,1.0,0.0
bell_phi_plus,2,phase_flip,0.4,8,0.5000000088635602,1.0,0.0
bell_phi_plus,2,phase_flip,0.5,8,0.5000000088602851,1.0,0.0
bell_phi_plus,2,phase_flip,0.6,8,0.5000000088635602,1.0,0.0
bell_phi_plus,2,phase_flip,0.7,8,0.5000002236086497,1.0,0.0
bell_phi_plus,2,phase_flip,0.8,8,0.5001410643556548,1.0,0.0
bell_phi_plus,2,phase_flip,0.9,8,0.5140737576923048,1.0,0.0
bell_phi_plus,2,phase_flip,1.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,depolarizing,0.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,depolarizing,0.1,8,0.38897651915167214,0.585205078125,0.414794921875
bell_phi_plus,2,depolarizing,0.2,8,0.2711106278013059,0.504638671875,0.495361328125
bell_phi_plus,2,depolarizing,0.3,8,0.2524924742374865,0.490966796875,0.509033203125
bell_phi_plus,2,depolarizing,0.4,8,0.2502115876744502,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.5,8,0.2500114485220068,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.6,8,0.2500003265526913,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.7,8,0.25000000765864633,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.8,8,0.2500000044350562,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,0.9,8,0.2500000044301408,0.489501953125,0.510498046875
bell_phi_plus,2,depolarizing,1.0,8,0.2500000044301416,0.489501953125,0.510498046875
bell_phi_plus,2,amplitude_damping,0.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,amplitude_damping,0.1,8,0.5926510116148255,0.752685546875,0.247314453125
bell_phi_plus,2,amplitude_damping,0.2,8,0.5140737500726466,0.866943359375,0.133056640625
bell_phi_plus,2,amplitude_damping,0.3,8,0.5016616470098128,0.948486328125,0.051513671875
bell_phi_plus,2,amplitude_damping,0.4,8,0.5001410556416923,0.981689453125,0.018310546875
bell_phi_plus,2,amplitude_damping,0.5,8,0.5000076294290067,0.996826171875,0.003173828125
bell_phi_plus,2,amplitude_damping,0.6,8,0.5000002147541678,0.99951171875,0.00048828125
bell_phi_plus,2,amplitude_damping,0.7,8,0.5000000021529174,1.0,0.0
bell_phi_plus,2,amplitude_damping,0.8,8,0.5000000000032995,1.0,0.0
bell_phi_plus,2,amplitude_damping,0.9,8,0.5000000000000001,1.0,0.0
bell_phi_plus,2,amplitude_damping,1.0,8,0.4999999999999999,1.0,0.0
bell_phi_plus,2,phase_damping,0.0,8,0.9999999999999998,1.0,0.0
bell_phi_plus,2,phase_damping,0.1,8,0.7152336129973461,1.0,0.0
bell_phi_plus,2,phase_damping,0.2,8,0.5838860887346948,1.0,0.0
bell_phi_plus,2,phase_damping,0.3,8,0.5288240138455481,1.0,0.0
